godina,događaj,lokacija_događaja,voditelj,kategorija,opis,naziv_igre,developer,izdavač,zemlja_podrijetla,platforme,zanrovi,prosjecna_ocjena_metacritic,pobjednik,napomena
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Audio Design,"Prepoznaje izvrsnost u dizajnu zvuka, glasovnim efektima i miksu.",Astro Bot,Team Asobi,Sony Interactive Entertainment,Japan,"[""PlayStation 5""]","[""Action-adventure"",""Platformer""]",91,false,Šarmantna 3D avantura s preciznom kontrolom i kreativnim korištenjem DualSense mogućnosti.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Audio Design,"Prepoznaje izvrsnost u dizajnu zvuka, glasovnim efektima i miksu.",Call of Duty: Black Ops 6,Treyarch,Activision,USA,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""First-person"",""Shooter""]",83,false,Nastavak popularnog FPS serijala s fokusom na dinamičnu kampanju i višestruki multiplayer mod.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Audio Design,"Prepoznaje izvrsnost u dizajnu zvuka, glasovnim efektima i miksu.",Final Fantasy VII Rebirth,Square Enix,Square Enix,Japan,"[""PlayStation 5""]","[""Action"",""Role-playing""]",92,false,Nastavlja reinterpretaciju originalnog FF7 s modernim borbenim sustavom i vizualima.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Audio Design,"Prepoznaje izvrsnost u dizajnu zvuka, glasovnim efektima i miksu.",Senua's Saga: Hellblade II,Ninja Theory,Xbox Game Studios,UK,"[""Windows"",""Xbox Series X/S""]","[""Action-adventure"",""Hack-and-slash""]",82,true,"Psihološka, kinematografska prezentacija perspektive Senuae."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Audio Design,"Prepoznaje izvrsnost u dizajnu zvuka, glasovnim efektima i miksu.",Silent Hill 2,Bloober Team,Konami,Poland,"[""PlayStation 5"",""Windows""]","[""Survival-horror""]",81,false,Remake klasika horor žanra s moderniziranom grafikom i atmosferom vjernom originalu.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Esports Game,Najbolja kompetitivna igra s aktivnom esports scenom.,Counter-Strike 2,Valve,Valve,USA,"[""macOS"",""Windows""]","[""First-person"",""Shooter"",""Tactical""]",80,false,"Nasljednik legendarne CS:GO igre, s moderniziranim motorom i natjecateljskim značajkama."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Esports Game,Najbolja kompetitivna igra s aktivnom esports scenom.,Dota 2,Valve,Valve,USA,"[""Linux"",""macOS"",""Windows""]","[""MOBA""]",90,false,Kultna MOBA igra s najvećim esport nagradnim fondom i aktivnom zajednicom.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Esports Game,Najbolja kompetitivna igra s aktivnom esports scenom.,League of Legends,Riot Games,Riot Games,USA,"[""macOS"",""Windows""]","[""MOBA""]",78,true,"Jedan od najpopularnijih MOBA naslova, poznat po stalnim nadogradnjama i esport sceni."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Esports Game,Najbolja kompetitivna igra s aktivnom esports scenom.,Mobile Legends: Bang Bang,Moonton,Moonton,China,"[""Android"",""iOS""]","[""MOBA""]",75,false,Najpopularniji mobilni MOBA naslov s velikom azijskom bazom igrača.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Esports Game,Najbolja kompetitivna igra s aktivnom esports scenom.,Valorant,Riot Games,Riot Games,USA,"[""Windows""]","[""Hero"",""Shooter"",""Tactical""]",85,false,Taktički FPS koji kombinira precizno pucanje i jedinstvene sposobnosti agenata.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Independent Game,Najbolja igra nezavisnog studija.,Animal Well,Shared Memory,Bigmode,USA,"[""macOS"",""Nintendo Switch"",""PlayStation 5"",""Windows""]","[""Metroidvania"",""Puzzle""]",90,false,Atmosferski indie metroidvania s pažljivo dizajniranim zagonetkama i tajnovitim svijetom.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Independent Game,Najbolja igra nezavisnog studija.,Balatro,LocalThunk,Playstack,UK,"[""Android"",""iOS"",""macOS"",""Nintendo Switch"",""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One""]","[""Deck-building"",""Roguelike""]",89,true,Indie kartaška roguelike igra poznata po dubokoj mehanici i visokoj ovisnosti.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Independent Game,Najbolja igra nezavisnog studija.,Lorelei and the Laser Eyes,Simogo,Annapurna Interactive,Sweden,"[""Nintendo Switch"",""Windows""]","[""Puzzle""]",88,false,Apstraktna narativna zagonetka s fokusom na vizualnu simboliku i nelinearnu strukturu.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Independent Game,Najbolja igra nezavisnog studija.,Neva,Nomada Studio,Devolver Digital,Spain,"[""Nintendo Switch"",""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Platformer"",""Puzzle""]",87,false,Umjetnički platformer koji istražuje teme gubitka i emocionalne povezanosti.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Independent Game,Najbolja igra nezavisnog studija.,UFO 50,Mossmouth,Mossmouth,USA,"[""Windows""]","[""Various""]",85,false,Kolekcija od 50 retro-stiliziranih igara koja istražuje različite žanrove i mehanike.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Narrative,Nagrada za najbolju priču i kvalitetu pripovijedanja.,Final Fantasy VII Rebirth,Square Enix,Square Enix,Japan,"[""PlayStation 5""]","[""Action"",""Role-playing""]",92,false,Nastavlja reinterpretaciju originalnog FF7 s modernim borbenim sustavom i vizualima.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Narrative,Nagrada za najbolju priču i kvalitetu pripovijedanja.,Like a Dragon: Infinite Wealth,Ryu Ga Gotoku Studio,Sega,Japan,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""Role-playing""]",89,false,"Hvaljena zbog bogate priče, razvijenih likova i uspješne kombinacije drame, komedije i taktičkih borbi."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Narrative,Nagrada za najbolju priču i kvalitetu pripovijedanja.,Metaphor: ReFantazio,Atlus,Sega,Japan,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Role-playing""]",88,true,"Pohvaljena zbog dubine svijeta, političke alegorije i složenog RPG sustava."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Narrative,Nagrada za najbolju priču i kvalitetu pripovijedanja.,Senua's Saga: Hellblade II,Ninja Theory,Xbox Game Studios,UK,"[""Windows"",""Xbox Series X/S""]","[""Action-adventure"",""Hack-and-slash""]",82,false,"Psihološka, kinematografska prezentacija perspektive Senuae."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Narrative,Nagrada za najbolju priču i kvalitetu pripovijedanja.,Silent Hill 2,Bloober Team,Konami,Poland,"[""PlayStation 5"",""Windows""]","[""Survival-horror""]",81,false,Remake klasika horor žanra s moderniziranom grafikom i atmosferom vjernom originalu.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Ongoing Game,Nagrada za igru koja kontinuirano nudi novo iskustvo kroz ažuriranja i podršku zajednice.,Destiny 2: The Final Shape,Bungie,Bungie,USA,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""First-person"",""MMOG"",""Shooter""]",83,false,Veliko završno poglavlje dugogodišnjeg FPS MMO serijala.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Ongoing Game,Nagrada za igru koja kontinuirano nudi novo iskustvo kroz ažuriranja i podršku zajednice.,Diablo IV: Vessel of Hatred,Blizzard Entertainment,Blizzard Entertainment,USA,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""Action"",""Dungeon-crawler"",""Hack-and-slash"",""Role-playing""]",88,false,"Ekspanzija s novim likovima, klasama i mračnim narativom karakterističnim za serijal."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Ongoing Game,Nagrada za igru koja kontinuirano nudi novo iskustvo kroz ažuriranja i podršku zajednice.,Final Fantasy XIV: Dawntrail,Square Enix,Square Enix,Japan,"[""macOS"",""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""MMORPG""]",89,false,Nova ekspanzija popularnog MMORPG-a koja donosi svjetliju i vedriju priču.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Ongoing Game,Nagrada za igru koja kontinuirano nudi novo iskustvo kroz ažuriranja i podršku zajednice.,Fortnite,Epic Games,Epic Games,USA,"[""Android"",""iOS"",""macOS"",""Nintendo Switch"",""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""Battle-royale"",""Sandbox"",""Survival""]",85,false,Stalno razvijajući battle royale s inovativnim suradnjama i kreativnim modovima.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Ongoing Game,Nagrada za igru koja kontinuirano nudi novo iskustvo kroz ažuriranja i podršku zajednice.,Helldivers II,Arrowhead Game Studios,Sony Interactive Entertainment,Sweden,"[""PlayStation 5"",""Windows""]","[""Shooter"",""Third-person""]",86,true,Kooperativni shooter s taktičkim izazovima i prijateljskim vatrom koji potiče suradnju igrača.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Score and Music,"Nagrada za najbolju originalnu glazbu, kompoziciju i produkciju zvuka.",Astro Bot,Team Asobi,Sony Interactive Entertainment,Japan,"[""PlayStation 5""]","[""Action-adventure"",""Platformer""]",91,false,Šarmantna 3D avantura s preciznom kontrolom i kreativnim korištenjem DualSense mogućnosti.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Score and Music,"Nagrada za najbolju originalnu glazbu, kompoziciju i produkciju zvuka.",Final Fantasy VII Rebirth,Square Enix,Square Enix,Japan,"[""PlayStation 5""]","[""Action"",""Role-playing""]",92,true,Nastavlja reinterpretaciju originalnog FF7 s modernim borbenim sustavom i vizualima.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Score and Music,"Nagrada za najbolju originalnu glazbu, kompoziciju i produkciju zvuka.",Metaphor: ReFantazio,Atlus,Sega,Japan,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Role-playing""]",88,false,"Pohvaljena zbog dubine svijeta, političke alegorije i složenog RPG sustava."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Score and Music,"Nagrada za najbolju originalnu glazbu, kompoziciju i produkciju zvuka.",Silent Hill 2,Bloober Team,Konami,Poland,"[""PlayStation 5"",""Windows""]","[""Survival-horror""]",81,false,Remake klasika horor žanra s moderniziranom grafikom i atmosferom vjernom originalu.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Score and Music,"Nagrada za najbolju originalnu glazbu, kompoziciju i produkciju zvuka.",Stellar Blade,Shift Up,Sony Interactive Entertainment,South Korea,"[""PlayStation 5""]","[""Action-adventure"",""Hack-and-slash""]",85,false,Akcijska avantura s fokusom na preciznu borbu i vizualno impresivne animacije.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Game of the Year,Igra koja je ostvarila najbolje ukupno iskustvo u svim kreativnim i tehničkim aspektima.,Astro Bot,Team Asobi,Sony Interactive Entertainment,Japan,"[""PlayStation 5""]","[""Action-adventure"",""Platformer""]",91,true,Šarmantna 3D avantura s preciznom kontrolom i kreativnim korištenjem DualSense mogućnosti.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Game of the Year,Igra koja je ostvarila najbolje ukupno iskustvo u svim kreativnim i tehničkim aspektima.,Balatro,LocalThunk,Playstack,UK,"[""Android"",""iOS"",""macOS"",""Nintendo Switch"",""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One""]","[""Deck-building"",""Roguelike""]",89,false,Indie kartaška roguelike igra poznata po dubokoj mehanici i visokoj ovisnosti.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Game of the Year,Igra koja je ostvarila najbolje ukupno iskustvo u svim kreativnim i tehničkim aspektima.,Black Myth: Wukong,Game Science,Game Science,China,"[""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Action"",""Role-playing""]",90,false,Akcijski RPG inspiriran kineskom mitologijom s impresivnim tehničkim postignućima.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Game of the Year,Igra koja je ostvarila najbolje ukupno iskustvo u svim kreativnim i tehničkim aspektima.,Elden Ring: Shadow of the Erdtree,FromSoftware,Bandai Namco Entertainment,Japan,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""Action"",""Role-playing""]",94,false,"Velika ekspanzija nagrađivane igre, poznata po dubokom dizajnu svijeta i izazovnim borbama."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Game of the Year,Igra koja je ostvarila najbolje ukupno iskustvo u svim kreativnim i tehničkim aspektima.,Final Fantasy VII Rebirth,Square Enix,Square Enix,Japan,"[""PlayStation 5""]","[""Action"",""Role-playing""]",92,false,Nastavlja reinterpretaciju originalnog FF7 s modernim borbenim sustavom i vizualima.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Game of the Year,Igra koja je ostvarila najbolje ukupno iskustvo u svim kreativnim i tehničkim aspektima.,Metaphor: ReFantazio,Atlus,Sega,Japan,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Role-playing""]",88,false,"Pohvaljena zbog dubine svijeta, političke alegorije i složenog RPG sustava."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Innovation in Accessibility,Nagrada za najbolje implementirane značajke pristupačnosti koje olakšavaju igranje osobama s različitim sposobnostima.,Call of Duty: Black Ops 6,Treyarch,Activision,USA,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""First-person"",""Shooter""]",83,false,Nastavak popularnog FPS serijala s fokusom na dinamičnu kampanju i višestruki multiplayer mod.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Innovation in Accessibility,Nagrada za najbolje implementirane značajke pristupačnosti koje olakšavaju igranje osobama s različitim sposobnostima.,Diablo IV: Vessel of Hatred,Blizzard Entertainment,Blizzard Entertainment,USA,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""Action"",""Dungeon-crawler"",""Hack-and-slash"",""Role-playing""]",88,false,"Ekspanzija s novim likovima, klasama i mračnim narativom karakterističnim za serijal."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Innovation in Accessibility,Nagrada za najbolje implementirane značajke pristupačnosti koje olakšavaju igranje osobama s različitim sposobnostima.,Dragon Age: The Veilguard,BioWare,Electronic Arts,Canada,"[""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Action"",""Role-playing""]",0,false,Nadolazeći nastavak poznatog RPG serijala s fokusom na priču i likove.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Innovation in Accessibility,Nagrada za najbolje implementirane značajke pristupačnosti koje olakšavaju igranje osobama s različitim sposobnostima.,Prince of Persia: The Lost Crown,Ubisoft Montpellier,Ubisoft,France,"[""Nintendo Switch"",""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""Metroidvania""]",88,true,Povratak klasičnog serijala u obliku 2.5D akcijske avanture s izvrsnim level dizajnom.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Innovation in Accessibility,Nagrada za najbolje implementirane značajke pristupačnosti koje olakšavaju igranje osobama s različitim sposobnostima.,Star Wars Outlaws,Massive Entertainment,Ubisoft,Sweden,"[""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Action-adventure""]",0,false,Open-world avantura smještena između Epizoda V i VI s fokusom na kriminalni svijet galaksije.
